Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
5.34,0.1181346631988635,0.11667340332713867
5.3500000000000005,0.1284438239306773,0.1269454942026437
5.36,0.13673270333368603,0.13521790350649704
5.37,0.1427930233531701,0.14128321727804194
5.38,0.14648440717603153,0.1450021674661613
5.39,0.14775107044250227,0.14632015004906548
5.4,0.14662528774506542,0.1452704276235682
5.41,0.14321742044137326,0.14196381267903732
5.42,0.13769429682330644,0.13656669015079795
5.43,0.13024918099420763,0.129270741092828
5.44,0.12106852731272644,0.12025968258846595
5.45,0.1103029758388542,0.10968050883002259
5.46,0.09805087313724548,0.09762743115953518
5.47,0.08436029051349067,0.08414433909732918
5.48,0.06925018528056855,0.06924630318812817
5.49,0.052745300772709995,0.052954668755775404
5.5,0.034915511585843356,0.0353364613932003
5.51,0.015909984971724835,0.016538495643509767
5.5200000000000005,-0.004021104593743146,-0.003191078511474192
5.53,-0.02452145753048765,-0.02349793970362786
5.54,-0.04514163706681955,-0.04393492299269905
5.55,-0.06536922220252638,-0.06399244823731699
5.5600000000000005,-0.08467207776740197,-0.08314186625729683
5.57,-0.10254707157609051,-0.10088398976301727
5.58,-0.11856406519492979,-0.11679268879779894
5.59,-0.13239556805482353,-0.13054407655218725
5.6000000000000005,-0.1438265444083157,-0.14192591153426565
5.61,-0.1527447959127401,-0.15082771224971303
5.62,-0.15911735359619775,-0.15721702848162866
5.63,-0.1629605559077524,-0.1611095388573112
5.64,-0.16431110336456267,-0.16254027393336465
5.65,-0.16320381935367653,-0.1615417007364581
5.66,-0.15966025713040438,-0.15813276354924846
5.67,-0.153690555154552,-0.1523211639377037
5.68,-0.14530824883785617,-0.14411843733603663
5.69,-0.1345540209766337,-0.13356370967721926
5.7,-0.12152099736160198,-0.12074875309311785
